ts,date,jcd,rno,combo,P,rank,payout,stake,status,ret,hit,actual
2026-08-21 23:57:30,20260821,6,5,3-1,0.2567,1,0,1000.0,settled,0.0,0,3-4
2026-08-21 23:57:30,20260821,6,8,1-4,0.3702,1,0,1000.0,settled,0.0,0,5-2
2026-08-21 23:57:30,20260821,6,8,4-1,0.1971,2,0,1000.0,settled,0.0,0,5-2
2026-08-21 23:57:30,20260821,7,4,1-2,0.226,2,330.0,1000.0,settled,3300.0,1,1-2
2026-08-21 23:57:30,20260821,7,4,2-1,0.2535,1,0,1000.0,settled,0.0,0,1-2
2026-08-21 23:57:30,20260821,7,6,1-4,0.2935,2,0,1000.0,settled,0.0,0,4-6
2026-08-21 23:57:30,20260821,7,6,4-1,0.3252,1,0,1000.0,settled,0.0,0,4-6
2026-08-21 23:57:30,20260821,7,8,1-2,0.3514,1,0,1000.0,settled,0.0,0,2-1
2026-08-21 23:57:30,20260821,7,8,2-1,0.1429,2,790.0,1000.0,settled,7900.0,1,2-1
2026-08-21 23:57:30,20260821,7,11,1-2,0.2735,1,160.0,1000.0,settled,1600.0,1,1-2
2026-08-21 23:57:30,20260821,7,11,2-1,0.2027,2,0,1000.0,settled,0.0,0,1-2
2026-08-21 23:57:30,20260821,16,5,1-3,0.3427,1,210.0,1000.0,settled,2100.0,1,1-3
2026-08-21 23:57:30,20260821,16,5,3-1,0.1683,2,0,1000.0,settled,0.0,0,1-3
2026-08-21 23:57:30,20260821,16,6,1-2,0.3173,1,0,1000.0,settled,0.0,0,1-3
2026-08-21 23:57:30,20260821,16,6,1-3,0.1673,2,1190.0,1000.0,settled,11900.0,1,1-3
2026-08-21 23:57:30,20260821,16,9,1-3,0.368,1,0,1000.0,settled,0.0,0,3-1
2026-08-21 23:57:30,20260821,16,9,3-1,0.1835,2,1170.0,1000.0,settled,11700.0,1,3-1
2026-08-21 23:57:30,20260821,21,2,1-4,0.364,1,0,1000.0,settled,0.0,0,1-6
2026-08-21 23:57:30,20260821,21,2,4-1,0.1698,2,0,1000.0,settled,0.0,0,1-6
2026-08-21 23:57:30,20260821,21,3,1-3,0.3615,1,0,1000.0,settled,0.0,0,3-4
2026-08-21 23:57:30,20260821,21,3,3-1,0.1924,2,0,1000.0,settled,0.0,0,3-4
2026-08-21 23:57:30,20260821,21,9,1-3,0.3283,1,0,1000.0,settled,0.0,0,6-1
2026-08-21 23:57:30,20260821,21,9,3-1,0.1486,2,0,1000.0,settled,0.0,0,6-1
2026-08-21 23:57:30,20260821,24,4,1-3,0.3338,1,0,1000.0,settled,0.0,0,3-2
2026-08-21 23:57:30,20260821,24,4,3-1,0.2485,2,0,1000.0,settled,0.0,0,3-2
2026-08-21 23:57:30,20260821,24,5,1-4,0.2891,1,0,1000.0,settled,0.0,0,1-2
2026-08-21 23:57:30,20260821,24,5,4-1,0.2151,2,0,1000.0,settled,0.0,0,1-2
2026-08-22 23:42:59,20260822,2,7,1-2,0.2627,1,0,1000.0,settled,0.0,0,5-1
2026-08-22 23:42:59,20260822,2,7,1-3,0.2498,2,0,1000.0,settled,0.0,0,5-1
2026-08-22 23:42:59,20260822,4,2,1-2,0.402,1,230.0,1000.0,settled,2300.0,1,1-2
2026-08-22 23:42:59,20260822,4,2,1-3,0.1486,2,0,1000.0,settled,0.0,0,1-2
2026-08-22 23:42:59,20260822,4,7,1-3,0.2457,2,0,1000.0,settled,0.0,0,1-5
2026-08-22 23:42:59,20260822,4,7,3-1,0.2845,1,0,1000.0,settled,0.0,0,1-5
2026-08-22 23:42:59,20260822,4,10,1-2,0.2347,2,0,1000.0,settled,0.0,0,5-1
2026-08-22 23:42:59,20260822,4,10,1-5,0.2532,1,0,1000.0,settled,0.0,0,5-1
2026-08-22 23:42:59,20260822,4,11,1-2,0.2477,1,0,1000.0,settled,0.0,0,1-3
2026-08-22 23:42:59,20260822,4,11,2-1,0.2402,2,0,1000.0,settled,0.0,0,1-3
2026-08-22 23:42:59,20260822,4,12,1-2,0.1601,2,610.0,1000.0,settled,6100.0,1,1-2
2026-08-22 23:42:59,20260822,4,12,1-3,0.3338,1,0,1000.0,settled,0.0,0,1-2
2026-08-22 23:42:59,20260822,6,7,1-2,0.24,2,0,1000.0,settled,0.0,0,2-1
2026-08-22 23:42:59,20260822,6,7,2-1,0.2805,1,330.0,1000.0,settled,3300.0,1,2-1
2026-08-22 23:42:59,20260822,6,8,1-4,0.3592,1,0,1000.0,settled,0.0,0,1-2
2026-08-22 23:42:59,20260822,6,8,4-1,0.2165,2,0,1000.0,settled,0.0,0,1-2
2026-08-22 23:42:59,20260822,6,12,1-3,0.2075,2,0,1000.0,settled,0.0,0,1-4
2026-08-22 23:42:59,20260822,6,12,1-4,0.3312,1,260.0,1000.0,settled,2600.0,1,1-4
2026-08-22 23:42:59,20260822,7,6,1-4,0.3815,1,280.0,1000.0,settled,2800.0,1,1-4
2026-08-22 23:42:59,20260822,7,6,4-1,0.21,2,0,1000.0,settled,0.0,0,1-4
2026-08-22 23:42:59,20260822,7,7,1-3,0.2822,1,0,1000.0,settled,0.0,0,1-4
2026-08-22 23:42:59,20260822,7,7,1-4,0.2062,2,370.0,1000.0,settled,3700.0,1,1-4
2026-08-22 23:42:59,20260822,7,9,1-4,0.3356,1,0,1000.0,settled,0.0,0,1-6
2026-08-22 23:42:59,20260822,7,9,4-1,0.1507,2,0,1000.0,settled,0.0,0,1-6
