ts,date,jcd,rno,combo,p,odds,kaijin,ev,stake,status,win_combo,hit,payout,ret
2026-08-21 13:06:25,20260820,9,5,1-6-3,2.45,50.8,124.48,1.245,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,5,1-6-4,2.75,51.0,140.39,1.403,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,5,1-6-5,0.88,114.0,100.38,1.003,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,6,1-2-6,1.44,739.8,1068.42,10.653,100.0,settled,2-4-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,6,1-3-6,1.88,278.6,524.05,5.238,100.0,settled,2-4-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,6,1-4-6,0.64,1119.0,712.02,7.162,100.0,settled,2-4-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,6,1-5-6,0.76,913.0,696.25,6.939,100.0,settled,2-4-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,6,1-6-2,0.38,1629.0,620.32,6.19,100.0,settled,2-4-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,6,1-6-3,0.5,875.7,439.25,4.379,100.0,settled,2-4-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,6,1-6-4,0.24,2798.0,660.05,6.715,100.0,settled,2-4-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,6,1-6-5,0.36,1716.0,622.56,6.178,100.0,settled,2-4-3,0,0,0.0
2026-08-21 13:06:25,20260820,9,7,1-2-3,9.65,20.1,193.91,1.94,100.0,settled,1-3-4,0,0,0.0
2026-08-21 13:06:25,20260820,9,7,1-2-5,8.75,34.0,297.48,2.975,100.0,settled,1-3-4,0,0,0.0
2026-08-21 13:06:25,20260820,9,7,1-3-2,4.68,40.2,188.28,1.881,100.0,settled,1-3-4,0,0,0.0
2026-08-21 13:06:25,20260820,9,7,1-3-6,2.3,75.9,174.57,1.746,100.0,settled,1-3-4,0,0,0.0
2026-08-21 13:06:25,20260820,9,7,1-5-2,2.11,118.1,248.99,2.492,100.0,settled,1-3-4,0,0,0.0
2026-08-21 13:06:25,20260820,9,7,1-5-3,0.93,178.0,165.95,1.655,100.0,settled,1-3-4,0,0,0.0
2026-08-21 13:06:25,20260820,9,7,1-5-4,1.29,91.7,118.32,1.183,100.0,settled,1-3-4,0,0,0.0
